,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
34,34,34,757.6764705882354,313.0968436154949,60
35,35,35,1144.1327116212335,457.8314203730272,60
36,36,36,1108.322094691535,469.7682926829268,60
37,37,37,1123.2431850789096,499.6104734576757,60
38,38,38,387.63342898134863,615.9949784791964,75
39,39,39,445.82568149210914,642.8529411764705,75
40,40,40,590.5602582496413,505.5789096126255,75
41,41,41,550.2733142037304,489.1657101865136,75
42,42,42,542.812769010043,451.8629842180774,75
43,43,43,633.8314203730273,296.6836441893832,75
44,44,44,668.1499282639885,189.2517934002869,75
45,45,45,794.9791965566715,181.7912482065997,75
46,46,46,783.0423242467717,220.5860832137733,75
47,47,47,769.6133428981351,268.3335724533715,75
48,48,48,806.9160688665711,284.7467718794835,75
49,49,49,851.6793400286944,275.79411764705884,75
50,50,50,584.5918220946916,542.8816355810617,90
51,51,51,538.3364418938307,521.9921090387373,90
52,52,52,681.5789096126255,265.3493543758966,90
53,53,53,732.3106169296988,260.8730272596844,90
54,54,54,718.8816355810617,204.17288378766148,90
55,55,55,695.0078909612625,156.4253945480632,90
56,56,56,660.6893830703012,144.48852223816357,90
57,57,57,827.8055954088952,241.4756097560976,90
58,58,58,1153.0853658536585,513.0394548063127,90
59,59,59,1187.4038737446194,513.0394548063127,90
60,60,60,1184.4196556671448,447.386657101865,90
61,61,61,1223.2144906743183,480.2130559540889,90
62,62,62,1223.2144906743183,444.4024390243901,90
63,63,63,1235.151362984218,416.05236728837866,90
64,64,64,1194.864418938307,411.5760401721664,90
65,65,65,1296.3278335724533,533.928981348637,90
66,66,66,1260.5172166427544,538.4053084648493,90
67,67,67,1235.151362984218,581.6764705882352,90
68,68,68,1269.4698708751794,618.9791965566714,90
69,69,69,956.1269727403156,14.675035868005809,90
70,70,70,526.3995695839311,818.9218077474892,105
71,71,71,580.1154949784792,826.3823529411764,105
72,72,72,730.8185078909613,132.55164992826394,105
73,73,73,768.1212338593974,160.90172166427544,105
74,74,74,974.032281205165,37.05667144906749,105
75,75,75,1009.8428981348636,19.151362984218167,105
76,76,76,1181.4354375896698,375.7654232424677,105
77,77,77,1220.2302725968436,377.2575322812052,105
78,78,78,1193.3723098995697,348.9074605451937,105
79,79,79,1267.977761836442,510.0552367288378,105
80,80,80,1253.0566714490676,644.345050215208,105
81,81,81,1309.7568149210906,638.3766140602581,105
82,82,82,1344.0753228120516,617.4870875179339,105
83,83,83,1345.567431850789,660.7582496413197,105
84,84,84,1350.0437589670014,712.9820659971305,105
85,85,85,562.2101865136299,860.7008608321376,120
86,86,86,774.0896700143472,114.64634146341471,120
87,87,87,771.1054519368722,77.34361549497851,120
88,88,88,823.3292682926829,32.58034433285513,120
89,89,89,866.6004304160688,37.05667144906749,120
90,90,90,972.5401721664276,65.40674318507901,120
91,91,91,1336.6147776183643,757.7453371592537,120
92,92,92,532.3680057388808,853.2403156384503,135
93,93,93,609.957675753228,854.7324246771879,135
94,94,94,639.799856527977,880.0982783357242,135
95,95,95,1373.9175035868006,650.3134863701578,135
96,96,96,499.541606886657,932.3220946915352,150
97,97,97,683.0710186513628,912.9246771879484,150
0,0,0,665.1657101865136,1027.8170731707314,0
1,1,1,696.5,1002.4512195121948,15
2,2,2,784.5344332855092,892.035150645624,15
3,3,3,780.0581061692968,842.7955523672882,15
4,4,4,750.215925394548,827.8744619799138,15
5,5,5,714.4053084648492,835.3350071736011,30
6,6,6,802.4397417503586,826.3823529411764,30
7,7,7,800.9476327116213,790.5717360114777,30
8,8,8,763.6449067431852,778.6348637015781,30
9,9,9,742.7553802008607,747.3005738880918,30
10,10,10,786.0265423242469,1017.3723098995696,45
11,11,11,723.357962697274,790.5717360114777,45
12,12,12,786.0265423242469,726.4110473457673,45
13,13,13,799.4555236728837,698.0609756097558,45
14,14,14,775.5817790530846,675.6793400286942,45
15,15,15,754.6922525107602,636.8845050215208,45
16,16,16,805.4239598278335,623.4555236728837,45
17,17,17,166.8012912482066,293.69942611190817,45
18,18,18,838.2503586800574,1014.3880918220946,60
19,19,19,877.045193687231,1023.3407460545192,60
20,20,20,914.3479196556668,992.0064562410328,60
21,21,21,812.8845050215207,762.2216642754663,60
22,22,22,830.7898134863701,726.4110473457673,60
23,23,23,839.7424677187947,689.1083213773312,60
24,24,24,642.7840746054519,747.3005738880918,60
25,25,25,668.1499282639885,707.0136298421806,60
26,26,26,657.7051649928262,660.7582496413197,60
27,27,27,618.9103299856528,675.6793400286942,60
28,28,28,566.6865136298421,638.3766140602581,60
29,29,29,538.3364418938307,672.6951219512194,60
30,30,30,511.47847919655663,632.4081779053082,60
31,31,31,475.6678622668579,620.4713055954088,60
32,32,32,507.00215208034433,581.6764705882352,60
33,33,33,541.3206599713054,560.786944045911,60
34,34,34,562.2101865136299,580.1843615494978,60
35,35,35,615.9261119081779,590.6291248206599,60
36,36,36,589.0681492109038,541.3895265423241,60
37,37,37,551.7654232424677,523.4842180774748,60
38,38,38,183.2144906743185,260.8730272596844,60
39,39,39,268.2647058823529,147.47274031563848,60
40,40,40,295.122668579627,63.91463414634154,60
41,41,41,953.1427546628406,1008.4196556671448,75
42,42,42,747.2317073170731,900.9878048780486,75
43,43,43,635.3235294117646,615.9949784791964,75
44,44,44,672.6262553802009,589.1370157819224,75
45,45,45,620.4024390243902,548.8500717360114,75
46,46,46,650.2446197991393,521.9921090387373,75
47,47,47,671.1341463414634,365.3206599713055,75
48,48,48,718.8816355810617,381.7338593974175,75
49,49,49,769.6133428981351,131.0595408895266,75
50,50,50,721.8658536585367,132.55164992826394,75
51,51,51,672.6262553802009,134.0437589670014,75
52,52,52,245.88307030129124,190.7439024390244,75
53,53,53,253.34361549497848,232.5229555236729,75
54,54,54,238.4225251076041,128.0753228120517,75
55,55,55,265.2804878048781,102.70946915351507,75
56,56,56,196.6434720229556,89.28048780487802,75
57,57,57,893.4583931133427,59.43830703012917,90
58,58,58,405.538737446198,147.47274031563848,90
59,59,59,363.7596843615496,129.56743185078918,90
60,60,60,423.44404591104734,98.23314203730274,90
61,61,61,414.4913916786227,40.0408895265424,90
62,62,62,342.87015781922526,25.11979913916787,90
63,63,63,283.18579626972735,25.11979913916787,90
64,64,64,283.18579626972735,56.454088952654274,90
65,65,65,229.46987087517937,48.99354375896701,90
66,66,66,111.59325681492116,50.48565279770446,90
67,67,67,96.67216642754668,78.83572453371595,90
68,68,68,62.35365853658543,66.89885222381645,90
69,69,69,132.48278335724535,89.28048780487802,105
70,70,70,189.1829268292683,20.64347202295562,105
71,71,71,603.9892395982782,726.4110473457673,105
72,72,72,662.1814921090388,556.3106169296988,120
73,73,73,1012.8271162123384,68.3909612625539,120
74,74,74,954.6348637015782,43.02510760401732,135
75,75,75,994.9218077474892,28.10401721664277,135
