,cell_x,cell_y,death_time
103,1380.7857142857147,854.0714285714287,7
104,1376.5000000000002,281.2142857142858,7
105,100.47241379310344,18.43103448275872,8
106,113.38275862068969,299.5896551724138,8
107,175.06551724137935,336.8862068965518,8
108,124.8586206896552,450.21034482758637,8
109,84.69310344827585,480.33448275862077,8
110,144.94137931034481,731.3689655172415,8
111,143.50689655172414,688.3344827586208,8
112,157.85172413793106,655.3413793103449,8
113,195.14827586206894,648.1689655172414,8
114,192.2793103448276,608.0034482758621,8
115,262.56896551724134,853.3,8
116,284.0862068965517,870.5137931034483,8
117,506.43103448275866,729.9344827586207,8
118,439.0103448275862,233.6034482758622,8
119,446.18275862068964,202.04482758620702,8
120,988.4172413793103,880.5551724137931,8
121,959.7275862068965,874.8172413793103,8
122,909.5206896551724,851.8655172413793,8
123,919.5620689655171,816.003448275862,8
124,836.3620689655172,100.19655172413809,8
125,873.6586206896552,41.382758620689856,8
126,1088.8310344827585,120.27931034482776,8
127,1117.5206896551724,87.2862068965519,8
128,1173.4655172413793,19.865517241379507,8
129,1367.1206896551723,382.78965517241386,8
130,1344.1689655172413,748.5827586206897,8
131,1368.5551724137931,768.6655172413793,8
132,1354.2103448275861,729.9344827586207,8
133,1371.4241379310345,717.0241379310345,8
134,1335.5620689655173,714.1551724137931,8
135,1341.3,696.9413793103448,8
136,1359.9482758620688,696.9413793103448,8
137,1388.6379310344828,894.9,8
138,181.53457814661147,301.8554633471649,9
